1,Hotel Roma,294-527-692,35,"PSC 1716, Box 5186 APO AP 18920",1
2,Palazzo Coliseo,771-764-467,43,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",1
3,Domo Vaticano,647-252-126,30,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",1
4,Hotel Trastevere,738-387-267,22,Unit 5444 Box 3960 DPO AE 23180,1
5,DomusAmor Navona,998-171-811,18,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",1
6,Roma Gondola,734-544-857,20,"75237 Ross Radial Ashleeburgh, GA 15492",1
7,Hotel delle Nazioni,321-718-523,28,"511 Karen Neck Terriborough, WV 55292",2
8,Hotel Alba Palace,745-819-474,25,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",2
9,Hotel Jane,214-454-587,23,"65223 Valdez Viaduct Lake Seanview, WY 97324",2
10,Hilton Florence Metropole,233-347-518,30,"518 Hall Dam New Jesse, NM 01087",2
11,Montparnasse,692-622-914,60,"0943 Harmon Ways Collinsburgh, ME 20733",3
12,Eiffel Hotel,717-744-934,70,"PSC 4851, Box 9887 APO AP 86712",3
13,CitizenM Paris,799-491-215,50,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",3
14,Hyatt Regency Chantilly,441-127-177,50,"9381 Melissa Walks Apt. 623 Port Barbarafurt, MI 38305",4
15,Le cocon de Leon,485-531-155,55,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",5
16,Royal Hotel,315-196-562,30,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",6
17,Hotel Phenix,282-833-326,38,Unit 6357 Box 9808 DPO AA 45781,6
18,PitufiHotel,241-126-819,20,"PSC 3268, Box 6667 APO AE 63637",7
19,B&B Hotel Dresden,633-564-612,35,"703 Garcia Drive Suite 239 West Carolside, NV 09666",8
20,The Sanctuary House Hotel,698-634-912,70,"1281 Robert Mountain Schneidermouth, HI 23898",9
21,Hotel Rex Milano,527-989-688,21,"71677 Theresa Fields Chadchester, TN 58947",10
